date,Gold_Rum
2016-08-29,127.62
2016-08-30,105.12
2016-08-31,159.99
2016-09-01,450.5
2016-09-02,216.25
2016-09-03,342.5
2016-09-06,498.5
2016-09-07,503.48
2016-09-08,440.0
2016-09-09,285.75
2016-09-12,424.12
2016-09-13,474.01
2016-09-14,427.25
2016-09-15,558.12
2016-09-16,339.63
2016-09-19,450.62
2016-09-20,397.63
2016-09-21,432.13
2016-09-22,284.5
2016-09-23,233.01
2016-09-26,511.26
2016-09-27,358.61
2016-09-28,528.87
2016-09-29,527.63
2016-09-30,550.12
2016-10-03,490.62
2016-10-04,634.12
2016-10-05,578.37
2016-10-06,626.5
2016-10-07,270.99
2016-10-10,489.26
2016-10-11,547.12
2016-10-12,613.88
2016-10-13,769.62
2016-10-14,156.38
2016-10-17,758.63
2016-10-18,411.62
2016-10-19,811.63
2016-10-20,457.37
2016-10-21,208.5
2016-10-24,433.75
2016-10-25,466.24
2016-10-26,832.87
2016-10-27,579.75
2016-10-28,253.24
2016-10-31,548.25
2016-11-01,479.88
2016-11-02,677.86
2016-11-03,439.88
2016-11-04,239.99
2016-11-07,520.13
2016-11-08,521.37
2016-11-09,808.12
2016-11-10,537.75
2016-11-11,219.99
2016-11-14,500.13
2016-11-15,587.75
2016-11-16,795.87
2016-11-17,668.75
2016-11-18,357.75
2016-11-21,505.87
2016-11-22,679.0
2016-11-23,395.5
2016-11-28,570.25
2016-11-29,551.5
2016-11-30,511.0
2016-12-01,687.75
2016-12-02,374.12
2016-12-05,493.12
2016-12-06,787.99
2016-12-07,942.87
2016-12-08,844.13
2016-12-09,296.88
2016-12-12,679.5
2016-12-13,637.13
2016-12-14,776.76
2016-12-15,977.88
2016-12-16,293.63
2016-12-19,712.74
2016-12-20,565.88
2016-12-21,639.63
2016-12-22,812.88
2016-12-23,251.62
2016-12-26,815.87
2016-12-27,913.74
2016-12-28,726.38
2016-12-29,542.51
2016-12-30,136.24
2017-01-03,386.76
2017-01-04,595.25
2017-01-05,320.49
2017-01-06,224.13
2017-01-09,528.75
2017-01-10,260.88
2017-01-11,535.25
2017-01-12,277.87
2017-01-13,193.37
2017-01-16,281.37
2017-01-17,504.62
2017-01-18,596.0
2017-01-19,397.5
2017-01-20,192.0
2017-01-23,337.37
2017-01-24,436.12
2017-01-25,548.0
2017-01-26,341.88
2017-01-27,180.37
2017-01-30,386.37
2017-01-31,417.62
2017-02-01,547.25
2017-02-02,317.0
2017-02-03,217.62
2017-02-06,324.88
2017-02-07,297.37
2017-02-08,653.0
2017-02-09,433.25
2017-02-10,241.62
2017-02-13,461.49
2017-02-14,348.99
